"business_id","is_open","name","review_count","stars"
"EJFdWX908N8Yc2XG0Lky8A","0","River Moon Cafe","5","4.0"
"o1fTwfqN0sDFNpV1CkOPPg","1","Crazy Mocha Coffee","16","3.5"
"-nHkhiuerqmfBG3v2v9O-g","1","Bruegger's Bagels","5","2.5"
"mLP-jIIRdoaYM7fJqqFurw","1","Napoli Pizzeria","53","4.0"
"j37Z4LIXTH9j6KOq9aX8DQ","1","Beer Emporium","169","3.5"
"575BoZY8tDPcfSRcdsUNLw","1","Eat'n Park","42","3.0"
"2cfzQGANxuIGcCUrlwnV7w","1","Popeyes Louisiana Kitchen","18","2.0"
"J9f-9Prw2YVM-fiZqv2fmQ","1","Original Hot Dog Shop","210","3.5"
"a5xUI7TvsNhM5gZr6KowDg","1","Sesame Inn","93","3.5"
"SCDym9EeJT8YUkaqVO4cZQ","0","Camille's Sidewalk Cafe","7","3.5"
"v0KawuAO7clhXCDKobFs0g","0","Currito - Burritos Without Borders","71","3.0"
"R06MTQpLNdsnr5wrCkMXfQ","0","Doubleday's","23","3.5"
"nF5TXLMmC6IJgQxE9CEZPw","1","Sun Penang","148","3.0"
"Fbycyr3KEjDQ4wO9AStmvQ","1","Cafe Sam","70","4.0"
"j4jsgp-e315s11ehJfRzAA","1","The Carlton","82","3.5"
"vn0wYNms_5PseeYZ6pfLmA","0","S&D Cafe","6","5.0"
"QI0PGXbGkIdInOOBeq6ieQ","1","TJ Buffet Sushi and Grill","36","3.0"
"OohsWZ3A0bo8y6N6vi6ePA","1","Anthony's Pizza","13","3.0"
"KF1ngA96RBiRM5h8V7IQ2g","0","Cool Ice Taipei Kitchen","30","4.0"
"bqW0f0RigwpYyz1lbxhHlw","1","Penn Brewery","201","3.5"
"MPjwZL8DHKCEbFw8LYiAIA","1","Subway","3","3.0"
"TjJdpI5XX2zwHmXQbnEWeQ","1","Gyros N'at","14","4.5"
"63iOXcDVSr8Jm0C8mjzo6g","1","McDonald's","6","1.5"
"HKExCPp1uxyQY1jlfYAhkA","1","The South Side BBQ Restaurant","14","3.5"
"_Tn9xzE06-7kDH2CzRg9YA","1","City of Bridges Cafe","8","1.5"
"BNeS_hZfmdQWsqewj-LuDA","1","Ting's Kitchen","52","4.5"
"BpU9-wcOWyKcVtkvnfRazA","1","Wok & Grill","3","3.0"
"dHiq1JliKgh_3z-KnTpCaA","1","Roxanne's Catering","3","4.0"
"dWB0HT1nXQ2N8n3bvPKJuQ","0","John's Chinese & Sushi Restaurant","28","4.0"
"mnI_n7A8sxgOSmtgI3wzQQ","0","Amazing Cafe","96","4.5"
"9GA2gmLV4NX2oJkuz6fdcA","1","Garage Door Saloon","33","3.0"
"_PKa6Dj06Q2AHKGkpJ7GnA","1","Z-Best BBQ","28","4.5"
"HNbX93hyrua2p6LO4IwdHA","1","Taco Bell","13","2.0"
"sz6_gKcHjtcpWKIZLXV85w","1","Or, The Whale","61","4.0"
"yZ_wpRr4Svw8YRZ9voCgIw","1","The Vandal","148","4.0"
"LQFmktF43j2NPncKdNd9mg","1","Fat Heads Saloon","657","4.0"
"2UCXCbv7qaO3d8FfQd4Ing","1","Pizza Bellino","62","3.0"
"9_1N2SoNoS3DGV9V-4kndw","1","Craftwork Kitchen","23","4.0"
"l_pR3x7v2mvE3luVdmGuoQ","1","Orient Kitchen","60","3.0"
"xwEYTGJ_82ScbpXcheqqQw","1","Subway","4","3.5"
"WKlMFUCGI7dCysGkFLWvaQ","1","Stagioni","108","4.0"
"1n8bvxpBoUOAJsC5csuV3Q","0","DiCarlo's Original Pizza","12","4.5"
"u1_a84WeHWa1YlreV6RZtg","1","Five Guys","15","3.5"
"F1vdFYr7P4Xb3uAQ2AYgzQ","1","Empire Palace Asian Restaurant and Bar","49","3.5"
"N60yOH1GpH8wE9kln7m3XQ","1","Cafe de Noir","9","4.5"
"X2lgI8CuVEsH5UDs14rMhw","1","Andys Wine Bar","59","3.5"
"l1JDX-o0wCLykuh78R8Kng","1","Whitfield","137","4.0"
"wJ4lFz3o1HGJ4wNCCsQTQQ","0","The Zone","4","2.5"
"p5HLsmZpzqsZpOng04I8eQ","1","Disanto Pizza","9","2.0"
"jHMQDeI-DwVl3Rth9ycxdw","0","Richard Chen","14","4.0"
"BGGR5ekPK6YqMRHgYNJGsw","1","Mexi-Casa","71","3.0"
"3eexaenBq8HvkTiYjVl3Pg","1","McKnight Kitchen","39","4.0"
"gldPX9ANF5Nic0N7igu2og","1","Condado Tacos","237","4.0"
"aDHD7nASfqiQBB6YXy2aGA","1","The Pretzel Shop","96","4.5"
"MjOFnVxoKeOikgBGTZ-UcA","1","Eat'n Park","15","4.0"
"RhXKTksPWch75Bo1lpoLqQ","1","Taco Bell","3","2.5"
"pPyg8s0O8JB7bDCaCj398w","1","East End Brewing Taproom","33","4.5"
"5fyROfD0I6Xd0pTqoOcL2A","1","Subway","3","3.5"
"HhPVzZYQI-akaXRK_A4dKQ","0","Del's Bar and Ristorante DelPizzo","97","2.5"
"Iabd_rGdOvdpySBeluFs5w","1","Cardello Pizza","34","3.5"
"nXlKHnArL3_vugmnytsEYQ","0","Crested Duck Charcuterie","37","4.5"
"qELIf4gzE_vlteu7pO7TZg","1","Atria's Restaurant","94","3.0"
"LCNc4r6LvVs-JBmfQYAqbw","0","1902 Tavern","7","2.5"
"5p60nXyjQruKvEZix6ahVQ","1","Vallozzis Pittsburgh","93","3.5"
"4LiieRb-_r9pUCM0mKS9XA","1","Friendship Perk And Brew","29","4.5"
"ckZg3KVwR9FrAR1KtTavEQ","1","Amato's Pizza","7","2.5"
"TeaOjHwZmKYlD9ce1l-8Ug","1","Bob's Garage","29","3.5"
"YajT7NNbaexIbXpUuQ8a9A","1","Amili's Pizzeria","6","4.0"
"rBnpbR-cfCD9CKy_ahCmsg","1","Nicky's Thai Kitchen","361","4.0"
"UDF-ISFu8lIZDyWvoR7nLg","1","Denny's","20","3.0"
"rKh_Nl5edIB9AevqnDmO6g","1","Fireside Inn","8","3.5"
"GGEeGKUez_pGqYXtk-sKvQ","1","Kelly O's Diner","175","4.0"
"osjWmpvboG2FxcFbZyglEA","0","Alma Pan-Latin Kitchen","58","4.0"
"qpa8Y4VAMQKh8P5zqC5Y4g","1","Chick-fil-A","22","4.0"
"u6XxSPpzjlniCEbLxFpkyQ","0","Smoke BBQ Taqueria","150","4.0"
"_VYUU5HPLYasd-xdKLimNA","1","Castle Place","6","4.0"
"iR6kEMdNRFc9QZUNTQo5Zg","1","Bruegger's Bagels","13","3.0"
"O4-yHHUYMYaiOVsgg8ImUw","1","Calabria's","27","3.0"
"lnd23oqCb7v8lt9zd4K8sg","1","Gasoline Street Coffee","23","4.5"
"1n-HH6BG913cKQ1tX3wQEg","0","Bayleaf Indian Cusine","6","4.0"
"3sIEwr4LPEruEt2q8ImypQ","0","Noodle Uchi","13","2.5"
"J1vEp4AZTPZvdxG9A-u1_w","0","Boardwalk on Carson","4","5.0"
"i39--wZD6L9hm9Lg90Uziw","1","Central Diner & Grille","406","4.0"
"qCq3JGKYMFq4dqFjtuF7DQ","0","Pizza Burgh","7","3.0"
"dQj5DLZjeDK3KFysh1SYOQ","1","Apteka","165","4.5"
"Au4pX3CnaWDbwrAyYOukig","0","Recipes Remembered","3","2.5"
"SmkYLXEYhzwUZdS6TAevHg","1","Butcher and the Rye","677","4.5"
"lhI9JnI3mhtNkntegi9jDg","0","Baba D's","3","3.5"
"RThuRlhMdowhtY8vITEIzQ","1","Mineo's Pizza House","260","3.5"
"bhVReN50h-lLfgIWA5Ovgg","1","Penn Station East Coast Subs","27","3.5"
"3JyqPFOCUHFczVSfiw518w","1","Kings","15","2.5"
"n6_ah26nj9V6eo7PZNUQzg","1","Mama Rose","7","4.5"
"A21FJqt8jIE6w0hdzmvnmg","1","Cafe Zinho","78","4.0"
"7U73RqIg6JA0WThxWUV3uA","1","Jade Grille","150","4.0"
"6eBYh0NQ80cCAmC4ajlKuQ","1","BurghBurgers","4","4.0"
"B0JdEQoQjr9oka-_YyGZ8g","1","Outback Steakhouse","52","2.5"
"kL5LI_GYZJkkP73wl0Qtlw","1","Portofino's Pizza & Pasta","17","3.5"
"TqL0ytKAucWdW2mR7EbayA","1","Tamarind","200","4.0"
"RPe_cSOxq_qkG-LbxBlOyw","1","Hyde Park Prime Steakhouse","147","4.0"
